车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
2124/2125,普快,丹东,15:35,本溪,当天18:36,18:45,齐齐哈尔,12:36
2255/2258,普快,丹东,12:47,本溪,当天15:51,16:01,北京,11:32
2256/2257,普快,北京,12:20,本溪,第2日07:13,07:25,丹东,10:59
2685/2688,普快,满洲里,10:39,本溪,第2日10:21,10:29,丹东,13:48
2686/2687,普快,丹东,16:20,本溪,当天19:17,19:25,满洲里,19:46
4223,普快,沈阳,06:22,本溪,当天08:02,08:10,丹东,11:28
4224,普快,丹东,13:20,本溪,当天16:51,16:59,沈阳,18:42
4248,普快,南芬,05:52,本溪,当天06:30,07:00,辽阳,08:53
4249,普快,辽阳,15:43,本溪,当天17:32,17:32,本溪,17:32
4315,普快,本溪,09:41,本溪,当天09:41,09:41,田师府,11:34
4316,普快,田师府,12:47,本溪,当天14:42,14:42,本溪,14:42
4321,普快,本溪,17:59,本溪,当天17:59,17:59,南芬,18:34
4322,普快,本溪,06:10,本溪,当天06:10,06:10,沈阳,07:43
6397,普快,安平,19:30,本溪,当天20:38,20:38,本溪,20:38
6398,普快,本溪,17:48,本溪,当天17:48,17:48,安平,18:55
D7601,动车组,沈阳,05:28,本溪,当天05:59,06:00,丹东,06:43
D7602,动车组,丹东,06:12,本溪,当天07:01,07:03,沈阳北,07:47
D7603,动车组,沈阳,06:16,本溪,当天06:47,06:49,丹东,07:38
D7604,动车组,丹东,06:34,本溪,当天07:35,07:37,沈阳,08:16
D7605,动车组,沈阳,07:00,本溪,当天07:37,07:39,丹东,08:34
D7607,动车组,沈阳,07:26,本溪,当天08:07,08:09,丹东,09:04
D7608,动车组,丹东,09:05,本溪,当天10:00,10:02,沈阳,10:34
D7609,动车组,沈阳北,08:30,本溪,当天09:11,09:13,丹东,09:56
D7610,动车组,丹东,09:23,本溪,当天10:18,10:20,沈阳北,10:56
D7611,动车组,沈阳,08:50,本溪,当天09:21,09:23,丹东,10:12
D7612,动车组,丹东,10:17,本溪,当天11:06,11:08,沈阳,11:46
D7613,动车组,沈阳,09:17,本溪,当天09:54,09:56,丹东,10:51
D7614,动车组,丹东,10:46,本溪,当天11:41,11:43,沈阳,12:21
D7615,动车组,沈阳,09:42,本溪,当天10:19,10:21,丹东,11:22
D7616,动车组,丹东,11:45,本溪,当天12:40,12:42,沈阳,13:14
D7617,动车组,沈阳,10:55,本溪,当天11:32,11:34,丹东,12:29
D7618,动车组,丹东,13:00,本溪,当天13:43,13:45,沈阳,14:17
D7619,动车组,沈阳北,11:28,本溪,当天12:15,12:17,丹东,13:06
D7620,动车组,丹东,13:30,本溪,当天14:19,14:21,沈阳,15:06
D7621,动车组,沈阳,12:10,本溪,当天12:41,12:43,丹东,13:38
D7622,动车组,丹东,14:06,本溪,当天15:01,15:03,沈阳,15:41
D7623,动车组,沈阳,13:00,本溪,当天13:31,13:33,丹东,14:22
D7624,动车组,丹东,14:45,本溪,当天15:31,15:33,沈阳北,16:10
D7625,动车组,沈阳,13:40,本溪,当天14:11,14:13,丹东,15:08
D7626,动车组,丹东,15:32,本溪,当天16:27,16:29,沈阳,17:07
D7627,动车组,沈阳,14:50,本溪,当天15:21,15:23,丹东,16:18
D7628,动车组,丹东,16:38,本溪,当天17:33,17:35,沈阳,18:13
D7629,动车组,沈阳,15:32,本溪,当天16:09,16:11,丹东,17:06
D7630,动车组,丹东,17:33,本溪,当天18:28,18:30,沈阳,19:03
D7631,动车组,沈阳,16:13,本溪,当天16:44,16:46,丹东,17:41
D7632,动车组,丹东,18:03,本溪,当天18:58,19:00,沈阳,19:33
D7633,动车组,沈阳北,16:30,本溪,当天17:05,17:07,丹东,18:02
D7634,动车组,丹东,18:28,本溪,当天19:11,19:13,沈阳,19:55
D7635,动车组,沈阳,17:30,本溪,当天18:01,18:03,丹东,18:52
D7636,动车组,丹东,19:10,本溪,当天19:53,19:55,沈阳,20:28
D7638,动车组,丹东,20:00,本溪,当天20:43,20:45,沈阳,21:17
D7639,动车组,沈阳,20:15,本溪,当天20:46,20:48,丹东,21:37
D7640,动车组,丹东,21:00,本溪,当天21:49,21:51,沈阳,22:24
D7641,动车组,沈阳,20:46,本溪,当天21:17,21:19,丹东,22:02
D7648,动车组,丹东,20:23,本溪,当天21:06,21:08,沈阳,21:40
D7651,动车组,沈阳,07:49,本溪,当天08:20,08:22,丹东,09:17
D7652,动车组,丹东,08:48,本溪,当天09:37,09:39,沈阳,10:21
D7653,动车组,沈阳,15:10,本溪,当天15:41,15:43,丹东,16:32
D7654,动车组,丹东,11:27,本溪,当天12:16,12:18,沈阳,12:57
D7655,动车组,沈阳,13:23,本溪,当天14:00,14:02,丹东,14:51
D7656,动车组,丹东,15:12,本溪,当天16:01,16:03,沈阳,16:35
D7657,动车组,沈阳,17:05,本溪,当天17:42,17:44,丹东,18:40
D7658,动车组,丹东,19:00,本溪,当天19:55,19:57,沈阳,20:29
D7659,动车组,沈阳,07:50,本溪,当天08:27,08:29,丹东,09:24
D7660,动车组,丹东,09:50,本溪,当天10:39,10:41,沈阳,11:13
D7661,动车组,沈阳,06:53,本溪,当天07:24,07:26,丹东,08:09
D7662,动车组,丹东,08:27,本溪,当天09:16,09:18,沈阳,09:51
D7663,动车组,沈阳,10:15,本溪,当天10:46,10:48,丹东,11:38
D7664,动车组,丹东,12:24,本溪,当天13:25,13:27,沈阳,14:05
D7665,动车组,沈阳,14:48,本溪,当天15:19,15:21,丹东,16:17
D7666,动车组,丹东,16:49,本溪,当天17:38,17:40,沈阳,18:12
D7667,动车组,沈阳,06:22,本溪,当天06:59,07:01,丹东,07:56
D7668,动车组,丹东,20:17,本溪,当天21:06,21:08,沈阳,21:41
D7671,动车组,沈阳,06:37,本溪,当天07:08,07:08,本溪,07:08
D7672,动车组,本溪,07:30,本溪,当天07:30,07:30,沈阳,08:09
D7675/D7678,动车组,延吉西,08:22,本溪,当天13:11,13:13,丹东,14:03
D7676/D7677,动车组,丹东,14:29,本溪,当天15:18,15:20,延吉西,20:00
D7731/D7734,动车组,沈阳,09:06,本溪,当天09:37,09:39,大连北,13:12
D7732/D7733,动车组,大连北,14:35,本溪,当天18:10,18:12,沈阳,18:57
D7735/D7738,动车组,沈阳,06:00,本溪,当天06:31,06:33,大连北,10:12
D7736/D7737,动车组,大连北,10:33,本溪,当天13:53,13:55,沈阳,14:28
D7739/D7742,动车组,沈阳,06:54,本溪,当天07:31,07:33,大连北,11:18
D7740/D7741,动车组,大连,06:23,本溪,当天10:39,10:41,沈阳,11:14
D7743/D7746,动车组,沈阳,10:45,本溪,当天11:22,11:24,大连北,14:58
D7744/D7745,动车组,大连北,15:19,本溪,当天18:40,18:42,沈阳,19:21
D7747/D7750,动车组,沈阳,11:54,本溪,当天12:25,12:27,大连北,16:07
D7748/D7749,动车组,大连北,16:27,本溪,当天20:23,20:25,沈阳,20:58
D7751/D7754,动车组,沈阳,13:21,本溪,当天13:52,13:54,大连北,17:20
D7752/D7753,动车组,大连北,17:50,本溪,当天21:23,21:25,沈阳,21:58
D7755/D7758,动车组,沈阳,17:02,本溪,当天17:39,17:41,大连北,20:54
D7756/D7757,动车组,大连北,11:44,本溪,当天15:49,15:51,沈阳,16:36
D8145/D8148,动车组,抚顺北,09:27,本溪,当天10:45,10:47,丹东,11:58
D8146/D8147,动车组,丹东,13:04,本溪,当天13:59,14:01,抚顺北,15:31
D8149/D8152,动车组,抚顺北,13:53,本溪,当天15:19,15:21,丹东,16:17
G1230/G1231,高速动车,丹东,11:11,本溪,当天12:00,12:02,上海虹桥,22:30
G395,高速动车,北京南,09:05,本溪,当天14:54,14:56,丹东,15:45
G396,高速动车,丹东,16:09,本溪,当天16:58,17:00,北京南,22:30
G397,高速动车,北京南,13:55,本溪,当天19:18,19:20,丹东,20:09
G398,高速动车,丹东,07:03,本溪,当天07:51,07:53,北京南,13:21
G4255/G4258,高速动车,丹东,09:41,本溪,当天10:24,10:26,烟台,23:00
G4256/G4257,高速动车,烟台,06:42,本溪,当天18:52,18:54,丹东,19:49
G781/G784,高速动车,丹东,15:52,本溪,当天16:41,16:43,哈尔滨西,19:54
G782/G783,高速动车,哈尔滨西,11:43,本溪,当天14:37,14:39,丹东,15:28
G785/G788,高速动车,丹东,12:11,本溪,当天13:00,13:02,哈尔滨西,16:19
G786/G787,高速动车,哈尔滨西,16:44,本溪,当天19:40,19:42,丹东,20:31
G8101/G8104,高速动车,吉林,07:59,本溪,当天10:59,11:01,丹东,11:50
G8102/G8103,高速动车,丹东,07:21,本溪,当天08:16,08:18,吉林,11:17
G8105/G8108,高速动车,吉林,12:04,本溪,当天15:05,15:07,丹东,16:02
G8106/G8107,高速动车,丹东,16:20,本溪,当天17:15,17:17,吉林,20:09
G8115,高速动车,大连北,09:05,本溪,当天11:46,11:48,丹东,12:49
G8116,高速动车,丹东,13:49,本溪,当天14:51,14:53,大连北,17:41
K27,快速,北京,17:27,本溪,第2日04:42,04:48,丹东,07:22
K28,快速,丹东,18:31,本溪,当天21:03,21:06,北京,08:38
K7361/K7364,快速,赤峰,22:23,本溪,第2日10:38,10:44,丹东,14:06
K7505,快速,沈阳,15:56,本溪,当天17:30,17:30,本溪,17:30
